# Model Name:	MacBook Pro
# Model Identifier:	MacBookPro10,1
# Processor Name:	Intel Core i7
# Processor Speed:	2.3 GHz
# Number of Processors:	1
# Total Number of Cores:	4
# L2 Cache (per Core):	256 KB
# L3 Cache:	6 MB
# Memory:	8 GB
# Boot ROM Version:	MBP101.00EE.B02
# go1
benchmark                          old ns/op      new ns/op      delta       
BenchmarkBinaryTree17              4311986761     3797832239     -11.92%     
BenchmarkFannkuch11                3283550944     2785309314     -15.17%     
BenchmarkFmtFprintfEmpty           93.9           76.3           -18.74%     
BenchmarkFmtFprintfString          226            238            +5.31%      
BenchmarkFmtFprintfInt             195            177            -9.23%      
BenchmarkFmtFprintfIntInt          308            291            -5.52%      
BenchmarkFmtFprintfPrefixedInt     295            270            -8.47%      
BenchmarkFmtFprintfFloat           423            393            -7.09%      
BenchmarkFmtManyArgs               1146           1250           +9.08%      
BenchmarkGobDecode                 8536553        8343514        -2.26%      
BenchmarkGobEncode                 4848838        5127308        +5.74%      
BenchmarkGzip                      439807071      426876600      -2.94%      
BenchmarkGunzip                    106658957      108322341      +1.56%      
BenchmarkHTTPClientServer          78404          76214          -2.79%      
BenchmarkJSONEncode                23326897       21984095       -5.76%      
BenchmarkJSONDecode                94996676       78639819       -17.22%     
BenchmarkMandelbrot200             4668022        4664292        -0.08%      
BenchmarkGoParse                   4909975        4650051        -5.29%      
BenchmarkRegexpMatchEasy0_32       130            135            +3.85%      
BenchmarkRegexpMatchEasy0_1K       349            340            -2.58%      
BenchmarkRegexpMatchEasy1_32       106            107            +0.94%      
BenchmarkRegexpMatchEasy1_1K       858            880            +2.56%      
BenchmarkRegexpMatchMedium_32      190            209            +10.00%     
BenchmarkRegexpMatchMedium_1K      66736          70516          +5.66%      
BenchmarkRegexpMatchHard_32        3196           3434           +7.45%      
BenchmarkRegexpMatchHard_1K        104456         116322         +11.36%     
BenchmarkRevcomp                   761667618      766281307      +0.61%      
BenchmarkTemplate                  110260028      114084050      +3.47%      
BenchmarkTimeParse                 453            442            -2.43%      
BenchmarkTimeFormat                449            416            -7.35%      

benchmark                         old MB/s     new MB/s     speedup     
BenchmarkGobDecode                89.91        91.99        1.02x       
BenchmarkGobEncode                158.29       149.70       0.95x       
BenchmarkGzip                     44.12        45.46        1.03x       
BenchmarkGunzip                   181.93       179.14       0.98x       
BenchmarkJSONEncode               83.19        88.27        1.06x       
BenchmarkJSONDecode               20.43        24.68        1.21x       
BenchmarkGoParse                  11.80        12.46        1.06x       
BenchmarkRegexpMatchEasy0_32      244.62       236.81       0.97x       
BenchmarkRegexpMatchEasy0_1K      2930.48      3010.04      1.03x       
BenchmarkRegexpMatchEasy1_32      301.68       297.06       0.98x       
BenchmarkRegexpMatchEasy1_1K      1192.54      1163.60      0.98x       
BenchmarkRegexpMatchMedium_32     5.25         4.78         0.91x       
BenchmarkRegexpMatchMedium_1K     15.34        14.52        0.95x       
BenchmarkRegexpMatchHard_32       10.01        9.32         0.93x       
BenchmarkRegexpMatchHard_1K       9.80         8.80         0.90x       
BenchmarkRevcomp                  333.70       331.69       0.99x       
BenchmarkTemplate                 17.60        17.01        0.97x       
# runtime
benchmark                                 old ns/op     new ns/op     delta         
BenchmarkAppend                           98.3          48.0          -51.17%       
BenchmarkAppend1Byte                      125           130           +4.00%        
BenchmarkAppend4Bytes                     122           118           -3.28%        
BenchmarkAppend8Bytes                     121           118           -2.48%        
BenchmarkAppend16Bytes                    124           123           -0.81%        
BenchmarkAppend32Bytes                    122           120           -1.64%        
BenchmarkAppendSpecialCase                35.7          28.2          -21.01%       
BenchmarkSelectUncontended                262           222           -15.27%       
BenchmarkSelectContended                  259           227           -12.36%       
BenchmarkSelectNonblock                   119           114           -4.20%        
BenchmarkChanUncontended                  72.9          63.8          -12.48%       
BenchmarkChanContended                    69.8          65.9          -5.59%        
BenchmarkChanSync                         152           138           -9.21%        
BenchmarkChanProdCons0                    153           145           -5.23%        
BenchmarkChanProdCons10                   91.9          89.0          -3.16%        
BenchmarkChanProdCons100                  70.2          67.9          -3.28%        
BenchmarkChanProdConsWork0                676           541           -19.97%       
BenchmarkChanProdConsWork10               603           482           -20.07%       
BenchmarkChanProdConsWork100              575           461           -19.83%       
BenchmarkChanCreation                     171           179           +4.68%        
BenchmarkChanSem                          64.9          61.6          -5.08%        
BenchmarkCallClosure                      2.46          3.91          +58.94%       
BenchmarkCallClosure1                     3.45          4.26          +23.48%       
BenchmarkCallClosure2                     37.4          27.6          -26.20%       
BenchmarkCallClosure3                     38.2          30.9          -19.11%       
BenchmarkCallClosure4                     38.8          29.3          -24.48%       
BenchmarkComplex128DivNormal              19.1          20.1          +5.24%        
BenchmarkComplex128DivNisNaN              13.9          16.2          +16.55%       
