# go1
benchmark                          old ns/op      new ns/op      delta       
BenchmarkBinaryTree17              4232125238     3723050948     -12.03%     
BenchmarkFannkuch11                3196161290     2837026659     -11.24%     
BenchmarkFmtFprintfEmpty           94.6           77.4           -18.18%     
BenchmarkFmtFprintfString          228            232            +1.75%      
BenchmarkFmtFprintfInt             189            175            -7.41%      
BenchmarkFmtFprintfIntInt          299            275            -8.03%      
BenchmarkFmtFprintfPrefixedInt     277            257            -7.22%      
BenchmarkFmtFprintfFloat           413            383            -7.26%      
BenchmarkFmtManyArgs               1123           1179           +4.99%      
BenchmarkGobDecode                 8147617        7953734        -2.38%      
BenchmarkGobEncode                 4608086        4970375        +7.86%      
BenchmarkGzip                      428398852      418215793      -2.38%      
BenchmarkGunzip                    106869950      108043989      +1.10%      
BenchmarkHTTPClientServer          70870          72682          +2.56%      
BenchmarkJSONEncode                22506459       21611524       -3.98%      
BenchmarkJSONDecode                88298676       73446213       -16.82%     
BenchmarkMandelbrot200             4502278        4490594        -0.26%      
BenchmarkGoParse                   4598724        4316886        -6.13%      
BenchmarkRegexpMatchEasy0_32       127            127            +0.00%      
BenchmarkRegexpMatchEasy0_1K       333            325            -2.40%      
BenchmarkRegexpMatchEasy1_32       106            108            +1.89%      
BenchmarkRegexpMatchEasy1_1K       839            873            +4.05%      
BenchmarkRegexpMatchMedium_32      185            203            +9.73%      
BenchmarkRegexpMatchMedium_1K      68764          69799          +1.51%      
BenchmarkRegexpMatchHard_32        3172           3371           +6.27%      
BenchmarkRegexpMatchHard_1K        102746         109872         +6.94%      
BenchmarkRevcomp                   679424988      657232390      -3.27%      
BenchmarkTemplate                  100410510      105086805      +4.66%      
BenchmarkTimeParse                 426            424            -0.47%      
BenchmarkTimeFormat                439            415            -5.47%      

benchmark                         old MB/s     new MB/s     speedup     
BenchmarkGobDecode                94.20        96.50        1.02x       
BenchmarkGobEncode                166.56       154.42       0.93x       
BenchmarkGzip                     45.30        46.40        1.02x       
BenchmarkGunzip                   181.57       179.60       0.99x       
BenchmarkJSONEncode               86.22        89.79        1.04x       
BenchmarkJSONDecode               21.98        26.42        1.20x       
BenchmarkGoParse                  12.60        13.42        1.07x       
BenchmarkRegexpMatchEasy0_32      251.46       251.41       1.00x       
BenchmarkRegexpMatchEasy0_1K      3073.76      3141.33      1.02x       
BenchmarkRegexpMatchEasy1_32      299.12       293.98       0.98x       
BenchmarkRegexpMatchEasy1_1K      1220.26      1172.70      0.96x       
BenchmarkRegexpMatchMedium_32     5.40         4.90         0.91x       
BenchmarkRegexpMatchMedium_1K     14.89        14.67        0.99x       
BenchmarkRegexpMatchHard_32       10.09        9.49         0.94x       
BenchmarkRegexpMatchHard_1K       9.97         9.32         0.93x       
BenchmarkRevcomp                  374.09       386.72       1.03x       
BenchmarkTemplate                 19.33        18.47        0.96x       
# runtime
benchmark                                 old ns/op     new ns/op     delta         
BenchmarkAppend                           97.0          46.0          -52.58%       
BenchmarkAppend1Byte                      132           120           -9.09%        
BenchmarkAppend4Bytes                     129           112           -13.18%       
BenchmarkAppend8Bytes                     128           111           -13.28%       
BenchmarkAppend16Bytes                    213           116           -45.54%       
BenchmarkAppend32Bytes                    126           114           -9.52%        
BenchmarkAppendSpecialCase                36.3          31.4          -13.50%       
BenchmarkSelectUncontended                252           225           -10.71%       
BenchmarkSelectContended                  245           226           -7.76%        
BenchmarkSelectNonblock                   116           116           +0.00%        
BenchmarkChanUncontended                  66.0          61.6          -6.67%        
BenchmarkChanContended                    65.8          61.0          -7.29%        
BenchmarkChanSync                         158           138           -12.66%       
BenchmarkChanProdCons0                    157           143           -8.92%        
BenchmarkChanProdCons10                   92.1          89.6          -2.71%        
BenchmarkChanProdCons100                  69.1          68.5          -0.87%        
BenchmarkChanProdConsWork0                740           593           -19.86%       
BenchmarkChanProdConsWork10               676           538           -20.41%       
BenchmarkChanProdConsWork100              652           514           -21.17%       
BenchmarkChanCreation                     173           177           +2.31%        
BenchmarkChanSem                          63.5          63.2          -0.47%        
BenchmarkCallClosure                      2.37          3.76          +58.65%       
BenchmarkCallClosure1                     3.34          3.96          +18.56%       
BenchmarkCallClosure2                     40.8          26.3          -35.54%       
BenchmarkCallClosure3                     41.6          28.3          -31.97%       
BenchmarkCallClosure4                     42.2          29.2          -30.81%       
BenchmarkComplex128DivNormal              22.5          22.7          +0.89%        
BenchmarkComplex128DivNisNaN              13.4          15.4          +14.93%       
BenchmarkComplex128DivDisNaN              13.9          14.5          +4.32%        
BenchmarkComplex128DivNisInf              9.77          10.7          +9.52%        
BenchmarkComplex128DivDisInf              10.7          11.9          +11.21%       
BenchmarkConvT2ESmall                     9.47          10.4          +9.82%        
BenchmarkConvT2EUintptr                   0.59          0.59          +0.00%        
BenchmarkConvT2ELarge                     51.9          58.4          +12.52%       
BenchmarkConvT2ISmall                     11.6          11.6          +0.00%        
BenchmarkConvT2IUintptr                   1.04          1.05          +0.96%        
BenchmarkConvT2ILarge                     53.9          60.7          +12.62%       
BenchmarkConvI2E                          3.56          4.47          +25.56%       
BenchmarkConvI2I                          17.0          16.3          -4.12%        
BenchmarkAssertE2T                        10.4          10.4          +0.00%        
BenchmarkAssertE2TLarge                   11.6          11.9          +2.59%        
BenchmarkAssertE2I                        17.7          17.9          +1.13%        
BenchmarkAssertI2T                        10.8          11.7          +8.33%        
