# 2011 Mac Mini, Core i5 something @ 2.5Ghz
# 16 Gb Ram, 10.9.0 Mavericks (I don't really trust these numbers)
# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            6151151747   5069538448  -17.58%
BenchmarkFannkuch11              3911716526   3883067692   -0.73%
BenchmarkFmtFprintfEmpty                108          109   +0.93%
BenchmarkFmtFprintfString               322          272  -15.53%
BenchmarkFmtFprintfInt                  223          230   +3.14%
BenchmarkFmtFprintfIntInt               375          365   -2.67%
BenchmarkFmtFprintfPrefixedInt          406          330  -18.72%
BenchmarkFmtFprintfFloat                573          486  -15.18%
BenchmarkFmtManyArgs                   1449         1326   -8.49%
BenchmarkGobDecode                 13695093      9624077  -29.73%
BenchmarkGobEncode                 15188309      5629081  -62.94%
BenchmarkGzip                     540052676    514760171   -4.68%
BenchmarkGunzip                   151329639    127286232  -15.89%
BenchmarkHTTPClientServer            117711       100600  -14.54%
BenchmarkJSONEncode                50292402     26275607  -47.75%
BenchmarkJSONDecode               112131055    102282888   -8.78%
BenchmarkMandelbrot200              5348955      5358087   +0.17%
BenchmarkGoParse                    7303967      5705053  -21.89%
BenchmarkRegexpMatchEasy0_32            144          153   +6.25%
BenchmarkRegexpMatchEasy0_1K            387          393   +1.55%
BenchmarkRegexpMatchEasy1_32            120          126   +5.00%
BenchmarkRegexpMatchEasy1_1K           1059         1052   -0.66%
BenchmarkRegexpMatchMedium_32           224          218   -2.68%
BenchmarkRegexpMatchMedium_1K         85640        77558   -9.44%
BenchmarkRegexpMatchHard_32            4120         3787   -8.08%
BenchmarkRegexpMatchHard_1K          132872       122186   -8.04%
BenchmarkRevcomp                 1044397218    829791196  -20.55%
BenchmarkTemplate                 162301739    118739809  -26.84%
BenchmarkTimeParse                      541          509   -5.91%
BenchmarkTimeFormat                     595          520  -12.61%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    56.04        79.75    1.42x
BenchmarkGobEncode                    50.53       136.35    2.70x
BenchmarkGzip                         35.93        37.70    1.05x
BenchmarkGunzip                      128.23       152.45    1.19x
BenchmarkJSONEncode                   38.58        73.85    1.91x
BenchmarkJSONDecode                   17.31        18.97    1.10x
BenchmarkGoParse                       7.93        10.15    1.28x
BenchmarkRegexpMatchEasy0_32         222.19       208.05    0.94x
BenchmarkRegexpMatchEasy0_1K        2642.44      2599.50    0.98x
BenchmarkRegexpMatchEasy1_32         266.26       253.94    0.95x
BenchmarkRegexpMatchEasy1_1K         966.78       972.65    1.01x
BenchmarkRegexpMatchMedium_32          4.46         4.57    1.02x
BenchmarkRegexpMatchMedium_1K         11.96        13.20    1.10x
BenchmarkRegexpMatchHard_32            7.77         8.45    1.09x
BenchmarkRegexpMatchHard_1K            7.71         8.38    1.09x
BenchmarkRevcomp                     243.36       306.30    1.26x
BenchmarkTemplate                     11.96        16.34    1.37x
# runtime
benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                114          116   +1.75%
BenchmarkAppend1Byte                           238          153  -35.71%
BenchmarkAppend4Bytes                          331          150  -54.68%
