# 2013 Macbook Air
# MacBookAir6,2
# Intel Core i7 1.7Ghz
# 8 GB Ram, 10.9.0 Mavericks
# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            4364322369   3764571389  -13.74%
BenchmarkFannkuch11              3166019893   3036046902   -4.11%
BenchmarkFmtFprintfEmpty                 87           88   +1.14%
BenchmarkFmtFprintfString               235          200  -14.89%
BenchmarkFmtFprintfInt                  180          172   -4.44%
BenchmarkFmtFprintfIntInt               292          261  -10.62%
BenchmarkFmtFprintfPrefixedInt          302          252  -16.56%
BenchmarkFmtFprintfFloat                462          378  -18.18%
BenchmarkFmtManyArgs                   1096         1006   -8.21%
BenchmarkGobDecode                  9683881      6943513  -28.30%
BenchmarkGobEncode                 11517544      5029786  -56.33%
BenchmarkGzip                     411216497    395140488   -3.91%
BenchmarkGunzip                   110917692     93941312  -15.31%
BenchmarkHTTPClientServer             59121        50510  -14.57%
BenchmarkJSONEncode                37273360     19923476  -46.55%
BenchmarkJSONDecode                76108658     72437602   -4.82%
BenchmarkMandelbrot200              4128150      4160714   +0.79%
BenchmarkGoParse                    5418539      4252733  -21.52%
BenchmarkRegexpMatchEasy0_32            112          117   +4.46%
BenchmarkRegexpMatchEasy0_1K            299          305   +2.01%
BenchmarkRegexpMatchEasy1_32             92           95   +3.34%
BenchmarkRegexpMatchEasy1_1K            744          763   +2.55%
BenchmarkRegexpMatchMedium_32           155          162   +4.52%
BenchmarkRegexpMatchMedium_1K         59727        57275   -4.11%
BenchmarkRegexpMatchHard_32            2919         2732   -6.41%
BenchmarkRegexpMatchHard_1K           92156        88985   -3.44%
BenchmarkRevcomp                  765692185    652520545  -14.78%
BenchmarkTemplate                 102680404     83602376  -18.58%
BenchmarkTimeParse                      377          361   -4.24%
BenchmarkTimeFormat                     439          365  -16.86%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    79.26       110.54    1.39x
BenchmarkGobEncode                    66.64       152.60    2.29x
BenchmarkGzip                         47.19        49.11    1.04x
BenchmarkGunzip                      174.95       206.56    1.18x
BenchmarkJSONEncode                   52.06        97.40    1.87x
BenchmarkJSONDecode                   25.50        26.79    1.05x
BenchmarkGoParse                      10.69        13.62    1.27x
BenchmarkRegexpMatchEasy0_32         284.02       271.72    0.96x
BenchmarkRegexpMatchEasy0_1K        3419.86      3350.76    0.98x
BenchmarkRegexpMatchEasy1_32         345.06       333.99    0.97x
BenchmarkRegexpMatchEasy1_1K        1375.32      1340.47    0.97x
BenchmarkRegexpMatchMedium_32          6.44         6.16    0.96x
BenchmarkRegexpMatchMedium_1K         17.14        17.88    1.04x
BenchmarkRegexpMatchHard_32           10.96        11.71    1.07x
BenchmarkRegexpMatchHard_1K           11.11        11.51    1.04x
BenchmarkRevcomp                     331.94       389.52    1.17x
BenchmarkTemplate                     18.90        23.21    1.23x
# runtime
benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                 97          100   +2.35%
BenchmarkAppend1Byte                           163          131  -19.63%
BenchmarkAppend4Bytes                          213          107  -49.77%
BenchmarkAppend8Bytes                          288          108  -62.50%
BenchmarkAppend16Bytes                         402          111  -72.39%
BenchmarkAppend32Bytes                         712          110  -84.55%
BenchmarkAppendSpecialCase                      32           39  +19.63%
BenchmarkSelectUncontended                     242          234   -3.31%
BenchmarkSelectContended                       244          232   -4.92%
BenchmarkSelectNonblock                        100          104   +4.00%
BenchmarkChanUncontended                        61           62   +0.65%
BenchmarkChanContended                          62           60   -2.25%
BenchmarkChanSync                              133          132   -0.75%
BenchmarkChanProdCons0                         132          139   +5.30%
BenchmarkChanProdCons10                         80           79   -1.24%
BenchmarkChanProdCons100                        69           62  -10.30%
BenchmarkChanProdConsWork0                     635          633   -0.31%
BenchmarkChanProdConsWork10                    575          572   -0.52%
BenchmarkChanProdConsWork100                   552          554   +0.36%
BenchmarkChanCreation                          166          169   +1.81%
BenchmarkChanSem                                61           59   -2.95%
BenchmarkCallClosure                             2            2   +0.00%
BenchmarkCallClosure1                            3            3   +0.60%
BenchmarkCallClosure2                           46           38  -16.88%
BenchmarkCallClosure3                           47           40  -15.58%
BenchmarkCallClosure4                           45           40  -12.85%
BenchmarkComplex128DivNormal                    17           17   +1.13%
BenchmarkComplex128DivNisNaN                    10           10   +0.99%
BenchmarkComplex128DivDisNaN                    11           11   +1.82%
BenchmarkComplex128DivNisInf                     7            7   +0.39%
BenchmarkComplex128DivDisInf                     8            8   +3.99%
BenchmarkConvT2ESmall                            9            9   +0.00%
BenchmarkConvT2EUintptr                          0            0   +1.64%
BenchmarkConvT2ELarge                           56           51   -9.70%
BenchmarkConvT2ISmall                           11           11   +0.00%
BenchmarkConvT2IUintptr                          0            0   +0.00%
BenchmarkConvT2ILarge                           53           52   -1.69%
BenchmarkConvI2E                                 3            2   -2.93%
BenchmarkConvI2I                                12           12   +2.44%
BenchmarkAssertE2T                              23            8  -61.91%
BenchmarkAssertE2TLarge                          9           17  +77.42%
BenchmarkAssertE2I                              14           14   -0.69%
BenchmarkAssertI2T                               9           28  +189.66%
BenchmarkAssertI2I                              15           14   -3.27%
BenchmarkAssertI2E                               3            3   +0.00%
BenchmarkAssertE2E                               0            0   +0.00%
BenchmarkMalloc8                                44           35  -18.78%
BenchmarkMalloc16                               48           42  -13.04%
BenchmarkMallocTypeInfo8                        56           52   -7.80%
BenchmarkMallocTypeInfo16                       65           58  -11.04%
BenchmarkHashStringSpeed                        21           22   +4.67%
BenchmarkHashInt32Speed                         13           14  +12.88%
BenchmarkHashInt64Speed                         13           14   +6.82%
BenchmarkHashStringArraySpeed                   72           74   +3.19%
BenchmarkMegMap                                 15           16   +6.67%
BenchmarkMegOneMap                              20           13  -34.78%
BenchmarkMegEqMap                            59133        59157   +0.04%
BenchmarkMegEmptyMap                             2            3  +10.87%
BenchmarkSmallStrMap                            16           15   -7.88%
BenchmarkMapStringKeysEight_16                  16           15   -9.47%
BenchmarkMapStringKeysEight_32                  15           13  -11.54%
BenchmarkMapStringKeysEight_64                  15           13  -11.54%
BenchmarkMapStringKeysEight_1M                  15           13  -10.97%
BenchmarkIntMap                                 10           16  +52.38%
BenchmarkRepeatedLookupStrMapKey32              33           34   +3.90%
BenchmarkRepeatedLookupStrMapKey1M          281212       281308   +0.03%
BenchmarkNewEmptyMap                           116          122   +5.17%
BenchmarkMemmove32                              32            3  -88.16%
BenchmarkMemmove4K                              77           62  -20.05%
BenchmarkMemmove64K                           2519         2504   -0.60%
BenchmarkMemmove4M                          441830       433223   -1.95%
BenchmarkMemmove64M                        9270025      9642873   +4.02%
BenchmarkFinalizer                             138          145   +5.07%
BenchmarkFinalizerRun                          630          642   +1.90%
