# HP NL56 microserver
# FreeBSD-9.1
# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17           11753492882  10607594044   -9.75%
BenchmarkFannkuch11              6189965055   6033369314   -2.53%
BenchmarkFmtFprintfEmpty                171          181   +5.85%
BenchmarkFmtFprintfString               452          452   +0.00%
BenchmarkFmtFprintfInt                  346          377   +8.96%
BenchmarkFmtFprintfIntInt               551          566   +2.72%
BenchmarkFmtFprintfPrefixedInt          559          521   -6.80%
BenchmarkFmtFprintfFloat                915          842   -7.98%
BenchmarkFmtManyArgs                   2137         2238   +4.73%
BenchmarkGobDecode                 21122261     17089019  -19.09%
BenchmarkGobEncode                 21960200     10173274  -53.67%
BenchmarkGzip                     943924491    904538967   -4.17%
BenchmarkGunzip                   201914657    168451626  -16.57%
BenchmarkHTTPClientServer           8023831        72436  -99.10%
BenchmarkJSONEncode                77834276     47575434  -38.88%
BenchmarkJSONDecode               184460350    190231635   +3.13%
BenchmarkMandelbrot200              8942448      8952265   +0.11%
BenchmarkGoParse                   11219423      8831064  -21.29%
BenchmarkRegexpMatchEasy0_32            223          229   +2.69%
BenchmarkRegexpMatchEasy0_1K            572          598   +4.55%
BenchmarkRegexpMatchEasy1_32            207          210   +1.45%
BenchmarkRegexpMatchEasy1_1K           1831         1938   +5.84%
BenchmarkRegexpMatchMedium_32           382          400   +4.71%
BenchmarkRegexpMatchMedium_1K        144430       155657   +7.77%
BenchmarkRegexpMatchHard_32            7830         8233   +5.15%
BenchmarkRegexpMatchHard_1K          248996       255677   +2.68%
BenchmarkRevcomp                 1792194383   1619952414   -9.61%
BenchmarkTemplate                 216564914    190711459  -11.94%
BenchmarkTimeParse                      858          827   -3.61%
BenchmarkTimeFormat                     983          930   -5.39%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    36.34        44.91    1.24x
BenchmarkGobEncode                    34.95        75.45    2.16x
BenchmarkGzip                         20.56        21.45    1.04x
BenchmarkGunzip                       96.10       115.19    1.20x
BenchmarkJSONEncode                   24.93        40.79    1.64x
BenchmarkJSONDecode                   10.52        10.20    0.97x
BenchmarkGoParse                       5.16         6.56    1.27x
BenchmarkRegexpMatchEasy0_32         142.91       139.33    0.97x
BenchmarkRegexpMatchEasy0_1K        1788.46      1711.25    0.96x
