MBP 2.3GHz Intel Core i7
16MB RAM
Super Fast Better than SSD Disk Thingy
OS X 10.9.2

# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            3880357123   3261811801  -15.94%
BenchmarkFannkuch11              2888289275   2502729407  -13.35%
BenchmarkFmtFprintfEmpty                 84           62  -25.39%
BenchmarkFmtFprintfString               198          195   -1.52%
BenchmarkFmtFprintfInt                  165          143  -13.33%
BenchmarkFmtFprintfIntInt               243          224   -7.82%
BenchmarkFmtFprintfPrefixedInt          245          214  -12.65%
BenchmarkFmtFprintfFloat                364          330   -9.34%
BenchmarkFmtManyArgs                    955          946   -0.94%
BenchmarkGobDecode                  6761497      6830580   +1.02%
BenchmarkGobEncode                  4966109      4228684  -14.85%
BenchmarkGzip                     380681923    415976119   +9.27%
BenchmarkGunzip                    89340081    104343742  +16.79%
BenchmarkHTTPClientServer             60883        59634   -2.05%
BenchmarkJSONEncode                19341608     20911637   +8.12%
BenchmarkJSONDecode                70586815     63790241   -9.63%
BenchmarkMandelbrot200              4150901      3962565   -4.54%
BenchmarkGoParse                    4141888      3686528  -10.99%
BenchmarkRegexpMatchEasy0_32            116          108   -6.90%
BenchmarkRegexpMatchEasy0_1K            315          277  -12.06%
BenchmarkRegexpMatchEasy1_32            100           89  -10.70%
BenchmarkRegexpMatchEasy1_1K            834          753   -9.71%
BenchmarkRegexpMatchMedium_32           173          168   -2.89%
BenchmarkRegexpMatchMedium_1K         63823        65493   +2.62%
BenchmarkRegexpMatchHard_32            2832         2801   -1.09%
BenchmarkRegexpMatchHard_1K           84748        97303  +14.81%
BenchmarkRevcomp                  629167090    615594360   -2.16%
BenchmarkTemplate                  79888608     74042474   -7.32%
BenchmarkTimeParse                      344          378   +9.88%
BenchmarkTimeFormat                     350          376   +7.43%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                   113.52       112.37    0.99x
BenchmarkGobEncode                   154.55       181.51    1.17x
BenchmarkGzip                         50.97        46.65    0.92x
BenchmarkGunzip                      217.20       185.97    0.86x
BenchmarkJSONEncode                  100.33        92.79    0.92x
BenchmarkJSONDecode                   27.49        30.42    1.11x
BenchmarkGoParse                      13.98        15.71    1.12x
BenchmarkRegexpMatchEasy0_32         274.02       293.99    1.07x
BenchmarkRegexpMatchEasy0_1K        3249.60      3690.31    1.14x
BenchmarkRegexpMatchEasy1_32         318.48       358.51    1.13x
BenchmarkRegexpMatchEasy1_1K        1226.66      1358.97    1.11x
BenchmarkRegexpMatchMedium_32          5.75         5.94    1.03x
BenchmarkRegexpMatchMedium_1K         16.04        15.64    0.98x
BenchmarkRegexpMatchHard_32           11.30        11.42    1.01x
BenchmarkRegexpMatchHard_1K           12.08        10.52    0.87x
BenchmarkRevcomp                     403.97       412.88    1.02x
BenchmarkTemplate                     24.29        26.21    1.08x
# runtime
benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                101           35  -64.55%
BenchmarkAppend1Byte                           137           89  -34.38%
BenchmarkAppend4Bytes                          116           88  -23.62%
BenchmarkAppend8Bytes                          113           91  -18.67%
BenchmarkAppend16Bytes                         122           91  -25.16%
BenchmarkAppend32Bytes                         105           96   -8.19%
BenchmarkAppendSpecialCase                      37           18  -49.06%
BenchmarkSelectUncontended                     228          191  -16.23%
BenchmarkSelectContended                       221          191  -13.57%
BenchmarkSelectNonblock                        100          101   +1.00%
BenchmarkChanUncontended                        57           56   -2.08%
BenchmarkChanContended                          58           58   +0.17%
BenchmarkChanSync                              127          123   -3.15%
BenchmarkChanProdCons0                         131          125   -4.58%
BenchmarkChanProdCons10                         75           80   +5.80%
BenchmarkChanProdCons100                        60           62   +3.64%
BenchmarkChanProdConsWork0                     610          505  -17.21%
BenchmarkChanProdConsWork10                    548          456  -16.79%
BenchmarkChanProdConsWork100                   533          423  -20.64%
BenchmarkChanCreation                          150          157   +4.67%
BenchmarkChanSem                                57           56   -1.73%
BenchmarkCallClosure                             2            2  +11.86%
BenchmarkCallClosure1                            3            3  +10.53%
BenchmarkCallClosure2                           34           23  -33.24%
BenchmarkCallClosure3                           35           24  -32.02%
BenchmarkCallClosure4                           35           24  -30.99%
BenchmarkComplex128DivNormal                    17           17   -0.58%
BenchmarkComplex128DivNisNaN                     9           10   +4.94%
BenchmarkComplex128DivDisNaN                    10           10   +0.94%
BenchmarkComplex128DivNisInf                     7            8  +16.19%
BenchmarkComplex128DivDisInf                     8            9  +12.18%
BenchmarkConvT2ESmall                            8           10  +22.17%
BenchmarkConvT2EUintptr                          0            0  +12.07%
