/home/dfc/devel/autobench/work/go/misc/benchcmp /home/dfc/devel/autobench/work/go1-go1.1.2.txt /home/dfc/devel/autobench/work/go1-go1.2rc3.txt
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647  -10.52%
BenchmarkFannkuch11              2147483647   2147483647  +10.41%
BenchmarkFmtFprintfEmpty                542          551   +1.66%
BenchmarkFmtFprintfString              1795         1698   -5.40%
BenchmarkFmtFprintfInt                 1429         1455   +1.82%
BenchmarkFmtFprintfIntInt              2346         2341   -0.21%
BenchmarkFmtFprintfPrefixedInt         2789         2680   -3.91%
BenchmarkFmtFprintfFloat               4403         4065   -7.68%
BenchmarkFmtManyArgs                   9587         9210   -3.93%
BenchmarkGobDecode                 78704167     60188690  -23.53%
BenchmarkGobEncode                 39138277     33830520  -13.56%
BenchmarkGzip                    2147483647   2147483647   +1.69%
BenchmarkGunzip                   549902122    402724900  -26.76%
BenchmarkHTTPClientServer            350746       282773  -19.38%
BenchmarkJSONEncode               365796292    186705152  -48.96%
BenchmarkJSONDecode               825770260    785023362   -4.93%
BenchmarkMandelbrot200             33332431     33360024   +0.08%
BenchmarkGoParse                   31068904     29025801   -6.58%
BenchmarkRegexpMatchEasy0_32            701          665   -5.14%
BenchmarkRegexpMatchEasy0_1K           3025         3000   -0.83%
BenchmarkRegexpMatchEasy1_32            701          680   -3.00%
BenchmarkRegexpMatchEasy1_1K           7360         7243   -1.59%
BenchmarkRegexpMatchMedium_32          1258         1211   -3.74%
BenchmarkRegexpMatchMedium_1K        444357       451370   +1.58%
BenchmarkRegexpMatchHard_32           23723        24107   +1.62%
BenchmarkRegexpMatchHard_1K          723320       745751   +3.10%
BenchmarkRevcomp                 2147483647   2147483647   -3.64%
BenchmarkTemplate                1179409195    889065919  -24.62%
BenchmarkTimeParse                     3954         3937   -0.43%
BenchmarkTimeFormat                    4328         3888  -10.17%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                     9.75        12.75    1.31x
BenchmarkGobEncode                    19.61        22.69    1.16x
BenchmarkGzip                          5.77         5.67    0.98x
BenchmarkGunzip                       35.29        48.18    1.37x
BenchmarkJSONEncode                    5.30        10.39    1.96x
BenchmarkJSONDecode                    2.35         2.47    1.05x
BenchmarkGoParse                       1.86         2.00    1.08x
BenchmarkRegexpMatchEasy0_32          45.63        48.05    1.05x
BenchmarkRegexpMatchEasy0_1K         338.44       341.31    1.01x
BenchmarkRegexpMatchEasy1_32          45.64        46.99    1.03x
