# Model Name:	OpenStack Nova
# Processor Name:	Intel Core i7
# Processor Speed:	2.3 GHz
# Number of Processors:	8
# Memory:	16 GB
# OS: Ubuntu 14.04
# go1
benchmark                          old ns/op      new ns/op      delta       
BenchmarkBinaryTree17              7407782080     5817352017     -21.47%     
BenchmarkFannkuch11                4631990287     4013381011     -13.36%     
BenchmarkFmtFprintfEmpty           132            109            -17.42%     
BenchmarkFmtFprintfString          332            333            +0.30%      
BenchmarkFmtFprintfInt             271            249            -8.12%      
BenchmarkFmtFprintfIntInt          427            397            -7.03%      
BenchmarkFmtFprintfPrefixedInt     384            372            -3.12%      
BenchmarkFmtFprintfFloat           581            547            -5.85%      
BenchmarkFmtManyArgs               1588           1667           +4.97%      
BenchmarkGobDecode                 12232681       11561686       -5.49%      
BenchmarkGobEncode                 6827956        6783800        -0.65%      
BenchmarkGzip                      631579427      638253551      +1.06%      
BenchmarkGunzip                    151551724      153204562      +1.09%      
BenchmarkHTTPClientServer          74293          75238          +1.27%      
BenchmarkJSONEncode                33845237       30021161       -11.30%     
BenchmarkJSONDecode                122503449      107819818      -11.99%     
BenchmarkMandelbrot200             6374676        6378312        +0.06%      
BenchmarkGoParse                   7421028        6436298        -13.27%     
BenchmarkRegexpMatchEasy0_32       180            182            +1.11%      
BenchmarkRegexpMatchEasy0_1K       472            460            -2.54%      
BenchmarkRegexpMatchEasy1_32       151            156            +3.31%      
BenchmarkRegexpMatchEasy1_1K       1267           1244           -1.82%      
BenchmarkRegexpMatchMedium_32      275            282            +2.55%      
BenchmarkRegexpMatchMedium_1K      93252          109824         +17.77%     
BenchmarkRegexpMatchHard_32        4644           5656           +21.79%     
BenchmarkRegexpMatchHard_1K        147832         161230         +9.06%      
BenchmarkRevcomp                   1009652473     948098769      -6.10%      
BenchmarkTemplate                  147383045      152374452      +3.39%      
BenchmarkTimeParse                 593            596            +0.51%      
BenchmarkTimeFormat                562            528            -6.05%      

benchmark                         old MB/s     new MB/s     speedup     
BenchmarkGobDecode                62.74        66.39        1.06x       
BenchmarkGobEncode                112.41       113.14       1.01x       
BenchmarkGzip                     30.72        30.40        0.99x       
BenchmarkGunzip                   128.04       126.66       0.99x       
BenchmarkJSONEncode               57.33        64.64        1.13x       
BenchmarkJSONDecode               15.84        18.00        1.14x       
BenchmarkGoParse                  7.80         9.00         1.15x       
BenchmarkRegexpMatchEasy0_32      176.85       175.68       0.99x       
BenchmarkRegexpMatchEasy0_1K      2166.05      2221.70      1.03x       
BenchmarkRegexpMatchEasy1_32      210.86       204.99       0.97x       
BenchmarkRegexpMatchEasy1_1K      807.64       822.98       1.02x       
BenchmarkRegexpMatchMedium_32     3.63         3.53         0.97x       
BenchmarkRegexpMatchMedium_1K     10.98        9.32         0.85x       
BenchmarkRegexpMatchHard_32       6.89         5.66         0.82x       
BenchmarkRegexpMatchHard_1K       6.93         6.35         0.92x       
BenchmarkRevcomp                  251.74       268.08       1.06x       
BenchmarkTemplate                 13.17        12.73        0.97x       
# runtime
benchmark                                 old ns/op     new ns/op     delta        
BenchmarkAppend                           137           65.1          -52.48%      
BenchmarkAppend1Byte                      204           157           -23.04%      
BenchmarkAppend4Bytes                     175           163           -6.86%       
BenchmarkAppend8Bytes                     170           162           -4.71%       
BenchmarkAppend16Bytes                    308           166           -46.10%      
BenchmarkAppend32Bytes                    180           164           -8.89%       
BenchmarkAppendSpecialCase                51.5          43.7          -15.15%      
BenchmarkSelectUncontended                368           304           -17.39%      
BenchmarkSelectContended                  344           309           -10.17%      
BenchmarkSelectNonblock                   151           146           -3.31%       
BenchmarkChanUncontended                  89.5          89.3          -0.22%       
BenchmarkChanContended                    90.6          88.8          -1.99%       
BenchmarkChanSync                         206           193           -6.31%       
