# Lenovo Thinkpad t410, Core i7 M 620 @ 2.67GHz
# Ubuntu 13.04

# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            6929392658   6016110509  -13.18%
BenchmarkFannkuch11              3896399229   3745148826   -3.88%
BenchmarkFmtFprintfEmpty                 96          100   +3.52%
BenchmarkFmtFprintfString               289          261   -9.69%
BenchmarkFmtFprintfInt                  194          205   +5.67%
BenchmarkFmtFprintfIntInt               334          328   -1.80%
BenchmarkFmtFprintfPrefixedInt          371          294  -20.75%
BenchmarkFmtFprintfFloat                510          461   -9.61%
BenchmarkFmtManyArgs                   1427         1370   -3.99%
BenchmarkGobDecode                 13652059     10031233  -26.52%
BenchmarkGobEncode                 15324328      5986799  -60.93%
BenchmarkGzip                     592839466    573299189   -3.30%
BenchmarkGunzip                   132888473    108273948  -18.52%
BenchmarkHTTPClientServer             64891        56421  -13.05%
BenchmarkJSONEncode                49246816     27157087  -44.86%
BenchmarkJSONDecode               113188110    110486207   -2.39%
BenchmarkMandelbrot200              4629096      4628981   -0.00%
BenchmarkGoParse                    7052339      5693020  -19.27%
BenchmarkRegexpMatchEasy0_32            136          136   +0.00%
BenchmarkRegexpMatchEasy0_1K            354          353   -0.28%
BenchmarkRegexpMatchEasy1_32            110          113   +2.73%
BenchmarkRegexpMatchEasy1_1K           1135         1196   +5.37%
BenchmarkRegexpMatchMedium_32           225          237   +5.33%
BenchmarkRegexpMatchMedium_1K         95581        99545   +4.15%
BenchmarkRegexpMatchHard_32            4547         4816   +5.92%
BenchmarkRegexpMatchHard_1K          142948       151240   +5.80%
BenchmarkRevcomp                 1088365751    978514388  -10.09%
BenchmarkTemplate                 146144446    116903411  -20.01%
BenchmarkTimeParse                      523          487   -6.88%
BenchmarkTimeFormat                     600          523  -12.83%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    56.22        76.51    1.36x
BenchmarkGobEncode                    50.09       128.20    2.56x
BenchmarkGzip                         32.73        33.85    1.03x
BenchmarkGunzip                      146.02       179.22    1.23x
BenchmarkJSONEncode                   39.40        71.45    1.81x
BenchmarkJSONDecode                   17.14        17.56    1.02x
BenchmarkGoParse                       8.21        10.17    1.24x
BenchmarkRegexpMatchEasy0_32         235.11       235.27    1.00x
BenchmarkRegexpMatchEasy0_1K        2884.89      2898.38    1.00x
BenchmarkRegexpMatchEasy1_32         290.60       280.78    0.97x
BenchmarkRegexpMatchEasy1_1K         902.02       856.12    0.95x
BenchmarkRegexpMatchMedium_32          4.43         4.21    0.95x
BenchmarkRegexpMatchMedium_1K         10.71        10.29    0.96x
BenchmarkRegexpMatchHard_32            7.04         6.64    0.94x
BenchmarkRegexpMatchHard_1K            7.16         6.77    0.95x
BenchmarkRevcomp                     233.53       259.75    1.11x
BenchmarkTemplate                     13.28        16.60    1.25x
# runtime
benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                136          136   +0.00%
BenchmarkAppend1Byte                           300          172  -42.67%
BenchmarkAppend4Bytes                          349          170  -51.29%
BenchmarkAppend8Bytes                          392          175  -55.36%
BenchmarkAppend16Bytes                         534          203  -61.99%
BenchmarkAppend32Bytes                         510          180  -64.71%
BenchmarkAppendSpecialCase                      75           76   +0.66%
BenchmarkSelectUncontended                     311          301   -3.22%
BenchmarkSelectContended                       311          300   -3.54%
BenchmarkSelectNonblock                        108          107   -0.93%
BenchmarkChanUncontended                        72           69   -4.95%
BenchmarkChanContended                          73           73   +0.14%
BenchmarkChanSync                              160          170   +6.25%
BenchmarkChanProdCons0                         172          179   +4.07%
BenchmarkChanProdCons10                         99          100   +0.20%
BenchmarkChanProdCons100                        77           76   -0.90%
BenchmarkChanProdConsWork0                     776          792   +2.06%
BenchmarkChanProdConsWork10                    705          708   +0.43%
BenchmarkChanProdConsWork100                   688          687   -0.15%
BenchmarkChanCreation                          219          209   -4.57%
BenchmarkChanSem                                67           63   -5.93%
BenchmarkCallClosure                             2            2   -3.10%
BenchmarkCallClosure1                            3            3   -1.88%
BenchmarkCallClosure2                           63           51  -18.52%
BenchmarkCallClosure3                           65           52  -20.27%
BenchmarkCallClosure4                           66           52  -21.29%
BenchmarkComplex128DivNormal                    27           28   +1.81%
