# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647  -19.69%
BenchmarkFannkuch11              2147483647   2147483647   -4.91%
BenchmarkFmtFprintfEmpty                135          131   -2.96%
BenchmarkFmtFprintfString               412          347  -15.78%
BenchmarkFmtFprintfInt                  307          275  -10.42%
BenchmarkFmtFprintfIntInt               517          449  -13.15%
BenchmarkFmtFprintfPrefixedInt          524          429  -18.13%
BenchmarkFmtFprintfFloat                749          638  -14.82%
BenchmarkFmtManyArgs                   1985         1900   -4.28%
BenchmarkGobDecode                 18037577     12699500  -29.59%
BenchmarkGobEncode                 19692148      7605461  -61.38%
BenchmarkGzip                     781857091    721685539   -7.70%
BenchmarkGunzip                   185062658    148159065  -19.94%
BenchmarkHTTPClientServer            101357        87171  -14.00%
BenchmarkJSONEncode                67980593     33585021  -50.60%
BenchmarkJSONDecode               159910291    152205247   -4.82%
BenchmarkMandelbrot200              6479256      6366130   -1.75%
BenchmarkGoParse                    8913989      7504066  -15.82%
BenchmarkRegexpMatchEasy0_32            173          212  +22.54%
BenchmarkRegexpMatchEasy0_1K            496          539   +8.67%
BenchmarkRegexpMatchEasy1_32            178          154  -13.48%
BenchmarkRegexpMatchEasy1_1K           1482         1583   +6.82%
BenchmarkRegexpMatchMedium_32           298          318   +6.71%
BenchmarkRegexpMatchMedium_1K        123367       120511   -2.32%
BenchmarkRegexpMatchHard_32            5723         6090   +6.41%
BenchmarkRegexpMatchHard_1K          179340       180833   +0.83%
BenchmarkRevcomp                 1326974276   1160748572  -12.53%
BenchmarkTemplate                 199593334    158653647  -20.51%
BenchmarkTimeParse                      740          670   -9.46%
BenchmarkTimeFormat                     827          704  -14.87%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    42.55        60.44    1.42x
BenchmarkGobEncode                    38.98       100.92    2.59x
BenchmarkGzip                         24.82        26.89    1.08x
BenchmarkGunzip                      104.85       130.97    1.25x
BenchmarkJSONEncode                   28.54        57.78    2.02x
BenchmarkJSONDecode                   12.13        12.75    1.05x
BenchmarkGoParse                       6.50         7.72    1.19x
BenchmarkRegexpMatchEasy0_32         184.64       150.47    0.81x
BenchmarkRegexpMatchEasy0_1K        2060.64      1898.34    0.92x
BenchmarkRegexpMatchEasy1_32         179.63       207.53    1.16x
BenchmarkRegexpMatchEasy1_1K         690.82       646.78    0.94x
BenchmarkRegexpMatchMedium_32          3.35         3.14    0.94x
BenchmarkRegexpMatchMedium_1K          8.30         8.50    1.02x
BenchmarkRegexpMatchHard_32            5.59         5.25    0.94x
BenchmarkRegexpMatchHard_1K            5.71         5.66    0.99x
BenchmarkRevcomp                     191.54       218.97    1.14x
