# Lenovo Thinkpad x220, Core i5 second gen
# Ubuntu 13.04

# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647  -16.29%
BenchmarkFannkuch11              2147483647   2147483647   -0.50%
BenchmarkFmtFprintfEmpty                 98          100   +1.63%
BenchmarkFmtFprintfString               293          245  -16.38%
BenchmarkFmtFprintfInt                  199          208   +4.52%
BenchmarkFmtFprintfIntInt               333          322   -3.30%
BenchmarkFmtFprintfPrefixedInt          371          292  -21.29%
BenchmarkFmtFprintfFloat                519          440  -15.22%
BenchmarkFmtManyArgs                   1304         1215   -6.83%
BenchmarkGobDecode                 12500433      8969724  -28.24%
BenchmarkGobEncode                 14059829      5350245  -61.95%
BenchmarkGzip                     488321195    463193074   -5.15%
BenchmarkGunzip                   139341325    114745245  -17.65%
BenchmarkHTTPClientServer             55021        49086  -10.79%
BenchmarkJSONEncode                46168173     24447393  -47.05%
BenchmarkJSONDecode               100574028     92649756   -7.88%
BenchmarkMandelbrot200              4817229      4831193   +0.29%
BenchmarkGoParse                    6471812      5058220  -21.84%
BenchmarkRegexpMatchEasy0_32            131          138   +5.34%
BenchmarkRegexpMatchEasy0_1K            348          360   +3.45%
BenchmarkRegexpMatchEasy1_32            106          116   +9.43%
BenchmarkRegexpMatchEasy1_1K            914          938   +2.63%
BenchmarkRegexpMatchMedium_32           194          203   +4.64%
BenchmarkRegexpMatchMedium_1K         69979        72792   +4.02%
BenchmarkRegexpMatchHard_32            3529         3461   -1.93%
BenchmarkRegexpMatchHard_1K          111732       110167   -1.40%
BenchmarkRevcomp                  925694118    742468939  -19.79%
BenchmarkTemplate                 135940730    107174847  -21.16%
BenchmarkTimeParse                      485          449   -7.42%
BenchmarkTimeFormat                     540          468  -13.33%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    61.40        85.57    1.39x
BenchmarkGobEncode                    54.59       143.46    2.63x
BenchmarkGzip                         39.74        41.89    1.05x
BenchmarkGunzip                      139.26       169.11    1.21x
BenchmarkJSONEncode                   42.03        79.37    1.89x
BenchmarkJSONDecode                   19.29        20.94    1.09x
BenchmarkGoParse                       8.95        11.45    1.28x
BenchmarkRegexpMatchEasy0_32         243.44       231.19    0.95x
BenchmarkRegexpMatchEasy0_1K        2940.85      2841.13    0.97x
BenchmarkRegexpMatchEasy1_32         300.17       274.89    0.92x
BenchmarkRegexpMatchEasy1_1K        1119.50      1090.67    0.97x
BenchmarkRegexpMatchMedium_32          5.14         4.92    0.96x
BenchmarkRegexpMatchMedium_1K         14.63        14.07    0.96x
BenchmarkRegexpMatchHard_32            9.07         9.25    1.02x
BenchmarkRegexpMatchHard_1K            9.16         9.29    1.01x
BenchmarkRevcomp                     274.57       342.33    1.25x
BenchmarkTemplate                     14.27        18.11    1.27x
# runtime
benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                102          103   +0.98%
BenchmarkAppend1Byte                           212          140  -33.96%
BenchmarkAppend4Bytes                          297          130  -56.23%
BenchmarkAppend8Bytes                          381          129  -66.14%
BenchmarkAppend16Bytes                         529          231  -56.33%
BenchmarkAppend32Bytes                         529          136  -74.29%
BenchmarkAppendSpecialCase                      45           39  -14.47%
BenchmarkSelectUncontended                     265          269   +1.51%
BenchmarkSelectContended                       266          260   -2.26%
BenchmarkSelectNonblock                        111          112   +0.90%
BenchmarkChanUncontended                        68           67   -1.60%
BenchmarkChanContended                          69           68   -1.30%
BenchmarkChanSync                              153          149   -2.61%
BenchmarkChanProdCons0                         156          157   +0.64%
BenchmarkChanProdCons10                         93           94   +0.96%
BenchmarkChanProdCons100                        71           70   -0.84%
BenchmarkChanProdConsWork0                     775          788   +1.68%
BenchmarkChanProdConsWork10                    718          718   +0.00%
BenchmarkChanProdConsWork100                   695          692   -0.43%
BenchmarkChanCreation                          198          191   -3.54%
BenchmarkChanSem                                66           65   -1.21%
BenchmarkCallClosure                             2            2   +2.01%
BenchmarkCallClosure1                            3            3   +0.00%
BenchmarkCallClosure2                           56           45  -19.43%
BenchmarkCallClosure3                           56           45  -19.22%
BenchmarkCallClosure4                           56           46  -17.93%
BenchmarkComplex128DivNormal                    24           24   +0.83%
BenchmarkComplex128DivNisNaN                    14           14   +0.00%
BenchmarkComplex128DivDisNaN                    15           14   -5.92%
BenchmarkComplex128DivNisInf                    10           11   +2.78%
BenchmarkComplex128DivDisInf                    11           11   +0.00%
BenchmarkConvT2ESmall                           10           10   -1.94%
BenchmarkConvT2EUintptr                          0            0   -3.08%
BenchmarkConvT2ELarge                           64           59   -7.91%
BenchmarkConvT2ISmall                           12           12   +0.00%
BenchmarkConvT2IUintptr                          1            1   -0.89%
BenchmarkConvT2ILarge                           67           60  -10.22%
BenchmarkConvI2E                                 4            4   -0.23%
BenchmarkConvI2I                                16           16   +0.61%
BenchmarkAssertE2T                              11           11   +0.00%
BenchmarkAssertE2TLarge                         12           12   +0.00%
BenchmarkAssertE2I                              17           17   +0.00%
BenchmarkAssertI2T                              11           11   +0.00%
BenchmarkAssertI2I                              18           18   -0.54%
BenchmarkAssertI2E                               4            4   +0.68%
BenchmarkAssertE2E                               0            0   +0.00%
