# Lenovo Thinkpad x220, Core i5 second gen
# Ubuntu 13.04

# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647  -17.18%
BenchmarkFannkuch11              2147483647   2147483647   -0.32%
BenchmarkFmtFprintfEmpty                 99          100   +0.70%
BenchmarkFmtFprintfString               298          255  -14.43%
BenchmarkFmtFprintfInt                  200          216   +8.00%
BenchmarkFmtFprintfIntInt               334          338   +1.20%
BenchmarkFmtFprintfPrefixedInt          373          307  -17.69%
BenchmarkFmtFprintfFloat                521          464  -10.94%
BenchmarkFmtManyArgs                   1318         1281   -2.81%
BenchmarkGobDecode                 12444338      9114263  -26.76%
BenchmarkGobEncode                 14128529      5309726  -62.42%
BenchmarkGzip                     499258573    467636361   -6.33%
BenchmarkGunzip                   137814209    116094729  -15.76%
BenchmarkHTTPClientServer             55350        50852   -8.13%
BenchmarkJSONEncode                46469002     24750623  -46.74%
BenchmarkJSONDecode               101171082     93260883   -7.82%
BenchmarkMandelbrot200              4851398      4835749   -0.32%
BenchmarkGoParse                    6867850      5060177  -26.32%
BenchmarkRegexpMatchEasy0_32            136          140   +2.94%
BenchmarkRegexpMatchEasy0_1K            359          364   +1.39%
BenchmarkRegexpMatchEasy1_32            117          121   +3.42%
BenchmarkRegexpMatchEasy1_1K            941          955   +1.49%
BenchmarkRegexpMatchMedium_32           195          205   +5.13%
BenchmarkRegexpMatchMedium_1K         72777        71935   -1.16%
BenchmarkRegexpMatchHard_32            3517         3470   -1.34%
BenchmarkRegexpMatchHard_1K          114654       109761   -4.27%
BenchmarkRevcomp                  924401448    746253513  -19.27%
BenchmarkTemplate                 135868507    107932498  -20.56%
BenchmarkTimeParse                      486          450   -7.41%
BenchmarkTimeFormat                     554          462  -16.61%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    61.68        84.21    1.37x
BenchmarkGobEncode                    54.33       144.55    2.66x
BenchmarkGzip                         38.87        41.50    1.07x
BenchmarkGunzip                      140.80       167.15    1.19x
BenchmarkJSONEncode                   41.76        78.40    1.88x
BenchmarkJSONDecode                   19.18        20.81    1.08x
BenchmarkGoParse                       8.43        11.45    1.36x
BenchmarkRegexpMatchEasy0_32         234.58       227.82    0.97x
BenchmarkRegexpMatchEasy0_1K        2846.54      2808.54    0.99x
BenchmarkRegexpMatchEasy1_32         272.70       263.27    0.97x
BenchmarkRegexpMatchEasy1_1K        1087.79      1071.28    0.98x
