# qnap 119P-II 2.0Ghz marvel kirkwood processor
# debian unstable
# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647  -17.36%
BenchmarkFannkuch11              2147483647   2147483647   +0.08%
BenchmarkFmtFprintfEmpty                722          755   +4.57%
BenchmarkFmtFprintfString              2215         2285   +3.16%
BenchmarkFmtFprintfInt                 1645         1984  +20.61%
BenchmarkFmtFprintfIntInt              2563         2816   +9.87%
BenchmarkFmtFprintfPrefixedInt         2835         2826   -0.32%
BenchmarkFmtFprintfFloat              14024        12388  -11.67%
BenchmarkFmtManyArgs                  11540        12179   +5.54%
BenchmarkGobDecode                186280445    158954443  -14.67%
BenchmarkGobEncode                 71626914     70730301   -1.25%
BenchmarkGzip                    2147483647   2147483647  -14.62%
BenchmarkGunzip                   766436320    493117857  -35.66%
BenchmarkHTTPClientServer            604010       547512   -9.35%
BenchmarkJSONEncode               843177385    398742104  -52.71%
BenchmarkJSONDecode              1836552670   1699321195   -7.47%
BenchmarkMandelbrot200           2147483647   2147483647   +9.01%
BenchmarkGoParse                   65869145     60229409   -8.56%
BenchmarkRegexpMatchEasy0_32            888          872   -1.80%
BenchmarkRegexpMatchEasy0_1K           4754         4728   -0.55%
BenchmarkRegexpMatchEasy1_32            939          938   -0.11%
BenchmarkRegexpMatchEasy1_1K           9996         9572   -4.24%
BenchmarkRegexpMatchMedium_32          1629         1564   -3.99%
BenchmarkRegexpMatchMedium_1K        554958       505216   -8.96%
BenchmarkRegexpMatchHard_32           27874        26181   -6.07%
BenchmarkRegexpMatchHard_1K          846872       794499   -6.18%
BenchmarkRevcomp                   86778878     75716908  -12.75%
BenchmarkTemplate                1792376505   1731846010   -3.38%
BenchmarkTimeParse                     9751         5426  -44.35%
BenchmarkTimeFormat                    9336         9019   -3.40%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                     4.12         4.83    1.17x
BenchmarkGobEncode                    10.72        10.85    1.01x
BenchmarkGzip                          3.93         4.60    1.17x
BenchmarkGunzip                       25.32        39.35    1.55x
BenchmarkJSONEncode                    2.30         4.87    2.12x
BenchmarkJSONDecode                    1.06         1.14    1.08x
BenchmarkGoParse                       0.88         0.96    1.09x
BenchmarkRegexpMatchEasy0_32          36.00        36.66    1.02x
BenchmarkRegexpMatchEasy0_1K         215.35       216.55    1.01x
BenchmarkRegexpMatchEasy1_32          34.06        34.11    1.00x
BenchmarkRegexpMatchEasy1_1K         102.44       106.97    1.04x
BenchmarkRegexpMatchMedium_32          0.61         0.64    1.05x
BenchmarkRegexpMatchMedium_1K          1.85         2.03    1.10x
BenchmarkRegexpMatchHard_32            1.15         1.22    1.06x
BenchmarkRegexpMatchHard_1K            1.21         1.29    1.07x
BenchmarkRevcomp                      29.29        33.57    1.15x
BenchmarkTemplate                      1.08         1.12    1.04x
# runtime
benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                621          530  -14.65%
BenchmarkAppend1Byte                          1330          933  -29.85%
BenchmarkAppend4Bytes                         1639         1208  -26.30%
BenchmarkAppend8Bytes                         2082         1276  -38.71%
