# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647  -10.18%
BenchmarkFannkuch11              2147483647   2147483647   +4.24%
BenchmarkFmtFprintfEmpty                830          878   +5.78%
BenchmarkFmtFprintfString              3917         3587   -8.42%
BenchmarkFmtFprintfInt                 1985         2052   +3.38%
BenchmarkFmtFprintfIntInt              3160         3088   -2.28%
BenchmarkFmtFprintfPrefixedInt         3551         3230   -9.04%
BenchmarkFmtFprintfFloat              10149         8977  -11.55%
BenchmarkFmtManyArgs                  14559        15168   +4.18%
BenchmarkGobDecode                187385600    141360095  -24.56%
BenchmarkGobEncode                 68925931     67236489   -2.45%
BenchmarkGzip                    2147483647   2147483647  -14.01%
BenchmarkGunzip                   991178566    603119958  -39.15%
BenchmarkHTTPClientServer            916596       837445   -8.64%
BenchmarkJSONEncode               809293333    356967983  -55.89%
BenchmarkJSONDecode              1932279041   1631930166  -15.54%
BenchmarkMandelbrot200            137827437    153710287  +11.52%
BenchmarkGoParse                   73351362     68473039   -6.65%
BenchmarkRegexpMatchEasy0_32           1223         1166   -4.66%
BenchmarkRegexpMatchEasy0_1K           5793         5661   -2.28%
BenchmarkRegexpMatchEasy1_32           1283         1202   -6.31%
BenchmarkRegexpMatchEasy1_1K          13029        11807   -9.38%
BenchmarkRegexpMatchMedium_32          2067         1879   -9.10%
BenchmarkRegexpMatchMedium_1K        735587       629721  -14.39%
BenchmarkRegexpMatchHard_32           37966        33890  -10.74%
BenchmarkRegexpMatchHard_1K         1179754      1034027  -12.35%
BenchmarkRevcomp                  124724689    106668143  -14.48%
BenchmarkTemplate                1863269958   1773811500   -4.80%
BenchmarkTimeParse                    13158         6938  -47.27%
BenchmarkTimeFormat                   13255        13126   -0.97%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                     4.10         5.43    1.32x
BenchmarkGobEncode                    11.14        11.42    1.03x
BenchmarkGzip                          3.09         3.59    1.16x
BenchmarkGunzip                       19.58        32.17    1.64x
BenchmarkJSONEncode                    2.40         5.44    2.27x
BenchmarkJSONDecode                    1.00         1.19    1.19x
BenchmarkGoParse                       0.79         0.85    1.08x
BenchmarkRegexpMatchEasy0_32          26.14        27.44    1.05x
BenchmarkRegexpMatchEasy0_1K         176.74       180.86    1.02x
BenchmarkRegexpMatchEasy1_32          24.93        26.62    1.07x
BenchmarkRegexpMatchEasy1_1K          78.59        86.73    1.10x
BenchmarkRegexpMatchMedium_32          0.48         0.53    1.10x
BenchmarkRegexpMatchMedium_1K          1.39         1.63    1.17x
BenchmarkRegexpMatchHard_32            0.84         0.94    1.12x
BenchmarkRegexpMatchHard_1K            0.87         0.99    1.14x
BenchmarkRevcomp                      20.38        23.83    1.17x
BenchmarkTemplate                      1.04         1.09    1.05x
# runtime
benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                716          635  -11.31%
BenchmarkAppend1Byte                          1748         1201  -31.29%
BenchmarkAppend4Bytes                         2078         1405  -32.39%
BenchmarkAppend8Bytes                         2825         1485  -47.43%
BenchmarkAppend16Bytes                        2354         1851  -21.37%
BenchmarkAppend32Bytes                        2289         1525  -33.38%
BenchmarkAppendSpecialCase                     615          597   -2.93%
BenchmarkSelectUncontended                    2405         2486   +3.37%
BenchmarkSelectContended                      2326         2466   +6.02%
BenchmarkSelectNonblock                       1146         1122   -2.09%
BenchmarkChanUncontended                       854          803   -5.97%
BenchmarkChanContended                         856          808   -5.61%
BenchmarkChanSync                             1330         1655  +24.44%
BenchmarkChanProdCons0                        1336         1705  +27.62%
BenchmarkChanProdCons10                       1031         1044   +1.26%
BenchmarkChanProdCons100                       884          848   -4.07%
BenchmarkChanProdConsWork0                    4711         5068   +7.58%
BenchmarkChanProdConsWork10                   4406         4429   +0.52%
BenchmarkChanProdConsWork100                  4250         4183   -1.58%
BenchmarkChanCreation                         2842         3296  +15.97%
BenchmarkChanSem                               839          787   -6.20%
BenchmarkCallClosure                            44           44   +0.00%
BenchmarkCallClosure1                           66           52  -21.14%
BenchmarkCallClosure2                          648          590   -8.95%
BenchmarkCallClosure3                          672          615   -8.48%
BenchmarkCallClosure4                          673          612   -9.06%
BenchmarkComplex128DivNormal                  1145         1095   -4.37%
BenchmarkComplex128DivNisNaN                   593          578   -2.53%
BenchmarkComplex128DivDisNaN                   606          586   -3.30%
BenchmarkComplex128DivNisInf                   464          450   -3.02%
BenchmarkComplex128DivDisInf                   503          500   -0.60%
BenchmarkConvT2ESmall                          105          117  +11.43%
BenchmarkConvT2EUintptr                         12           12   +0.00%
BenchmarkConvT2ELarge                          695          675   -2.88%
BenchmarkConvT2ISmall                          156          168   +7.69%
BenchmarkConvT2IUintptr                         24           24   +0.00%
BenchmarkConvT2ILarge                          762          696   -8.66%
