# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17           37198727745  35051649267   -5.77%
BenchmarkFannkuch11             31576730876  31353899972   -0.71%
BenchmarkFmtFprintfEmpty                967          868  -10.24%
BenchmarkFmtFprintfString              2347         2629  +12.02%
BenchmarkFmtFprintfInt                 2000         1944   -2.80%
BenchmarkFmtFprintfIntInt              3042         2971   -2.33%
BenchmarkFmtFprintfPrefixedInt         2884         2831   -1.84%
BenchmarkFmtFprintfFloat               5950         6496   +9.18%
BenchmarkFmtManyArgs                  11834        12774   +7.94%
BenchmarkGobDecode                100501866     97122957   -3.36%
BenchmarkGobEncode                 52113953     50036122   -3.99%
BenchmarkGzip                    3767317860   3765151397   -0.06%
BenchmarkGunzip                   559306064    559225129   -0.01%
BenchmarkHTTPClientServer            401751       397383   -1.09%
BenchmarkJSONEncode               275972834    309836274  +12.27%
BenchmarkJSONDecode              1152963586   1090080230   -5.45%
BenchmarkMandelbrot200             58742927     58631429   -0.19%
BenchmarkGoParse                   47035389     46914212   -0.26%
BenchmarkRegexpMatchEasy0_32           1126         1098   -2.49%
BenchmarkRegexpMatchEasy0_1K           4181         4160   -0.50%
BenchmarkRegexpMatchEasy1_32           1179         1135   -3.73%
BenchmarkRegexpMatchEasy1_1K           9725        10234   +5.23%
BenchmarkRegexpMatchMedium_32          1870         1939   +3.69%
BenchmarkRegexpMatchMedium_1K        584549       632765   +8.25%
BenchmarkRegexpMatchHard_32           32574        33883   +4.02%
BenchmarkRegexpMatchHard_1K          996804      1036825   +4.01%
BenchmarkRevcomp                   85764009     87577757   +2.11%
BenchmarkTemplate                1252933070   1498167714  +19.57%
BenchmarkTimeParse                     5750         6106   +6.19%
BenchmarkTimeFormat                   10244        10168   -0.74%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                     7.64         7.90    1.03x
BenchmarkGobEncode                    14.73        15.34    1.04x
BenchmarkGzip                          5.15         5.15    1.00x
