# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647   -5.52%
BenchmarkFannkuch11              2147483647   2147483647   -0.37%
BenchmarkFmtFprintfEmpty               1532         1402   -8.49%
BenchmarkFmtFprintfString              3836         4335  +13.01%
BenchmarkFmtFprintfInt                 3270         3198   -2.20%
BenchmarkFmtFprintfIntInt              4993         4899   -1.88%
BenchmarkFmtFprintfPrefixedInt         4742         4683   -1.24%
BenchmarkFmtFprintfFloat               9805        10657   +8.69%
BenchmarkFmtManyArgs                  19662        21234   +8.00%
BenchmarkGobDecode                157336425    155975341   -0.87%
BenchmarkGobEncode                 86660766     82508850   -4.79%
BenchmarkGzip                    2147483647   2147483647   +0.31%
BenchmarkGunzip                   931991577    930252075   -0.19%
BenchmarkHTTPClientServer            633947       620635   -2.10%
BenchmarkJSONEncode               455303955    515670776  +13.26%
BenchmarkJSONDecode              1850646973   1756195069   -5.10%
BenchmarkMandelbrot200             97882080     97634887   -0.25%
BenchmarkGoParse                   75212097     75686645   +0.63%
BenchmarkRegexpMatchEasy0_32           1800         1748   -2.89%
BenchmarkRegexpMatchEasy0_1K           6916         6900   -0.23%
BenchmarkRegexpMatchEasy1_32           1886         1799   -4.61%
BenchmarkRegexpMatchEasy1_1K          16097        16834   +4.58%
BenchmarkRegexpMatchMedium_32          3022         3156   +4.43%
BenchmarkRegexpMatchMedium_1K        982192      1052947   +7.20%
BenchmarkRegexpMatchHard_32           55057        56510   +2.64%
BenchmarkRegexpMatchHard_1K         1679351      1734100   +3.26%
BenchmarkRevcomp                  141070556    141482544   +0.29%
BenchmarkTemplate                1991638183   2147483647  +19.83%
BenchmarkTimeParse                     9737        10226   +5.02%
BenchmarkTimeFormat                   17244        17230   -0.08%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                     4.88         4.92    1.01x
BenchmarkGobEncode                     8.86         9.30    1.05x
BenchmarkGzip                          3.13         3.12    1.00x
BenchmarkGunzip                       20.82        20.86    1.00x
BenchmarkJSONEncode                    4.26         3.76    0.88x
BenchmarkJSONDecode                    1.05         1.10    1.05x
BenchmarkGoParse                       0.77         0.77    1.00x
BenchmarkRegexpMatchEasy0_32          17.77        18.30    1.03x
BenchmarkRegexpMatchEasy0_1K         148.06       148.39    1.00x
BenchmarkRegexpMatchEasy1_32          16.97        17.78    1.05x
BenchmarkRegexpMatchEasy1_1K          63.61        60.83    0.96x
BenchmarkRegexpMatchMedium_32          0.33         0.32    0.97x
BenchmarkRegexpMatchMedium_1K          1.04         0.97    0.93x
BenchmarkRegexpMatchHard_32            0.58         0.57    0.98x
BenchmarkRegexpMatchHard_1K            0.61         0.59    0.97x
BenchmarkRevcomp                      18.02        17.97    1.00x
