# go1.2rc5 autobench on raspberry pi Linux raspberrypi 3.6.11+ #538 PREEMPT Fri Aug 30 20:42:08 BST 2013 armv6l GNU/Linux
# contributed by Rob Figueiredo
# https://gist.github.com/robfig/7554760
#
# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647  -30.86%
BenchmarkFannkuch11              2147483647   2147483647   +0.23%
BenchmarkFmtFprintfEmpty               2673         3010  +12.61%
BenchmarkFmtFprintfString             11348         9977  -12.08%
BenchmarkFmtFprintfInt                 6706         7215   +7.59%
BenchmarkFmtFprintfIntInt             10843        10267   -5.31%
BenchmarkFmtFprintfPrefixedInt        10558         9640   -8.69%
BenchmarkFmtFprintfFloat              35102        31716   -9.65%
BenchmarkFmtManyArgs                  47528        48727   +2.52%
BenchmarkGobDecode                495142452    380764870  -23.10%
BenchmarkGobEncode                147169430    141030422   -4.17%
BenchmarkGzip                    2147483647   2147483647  -16.68%
BenchmarkGunzip                  2147483647   1525101602  -29.41%
BenchmarkHTTPClientServer           4026829      3816210   -5.23%
BenchmarkJSONEncode              2147483647    987052263  -61.56%
BenchmarkJSONDecode              2147483647   2147483647  -10.44%
BenchmarkMandelbrot200            122070681    157938541  +29.38%
BenchmarkGoParse                  207484525    204304975   -1.53%
BenchmarkRegexpMatchEasy0_32           3334         2850  -14.52%
BenchmarkRegexpMatchEasy0_1K          11531        11392   -1.21%
BenchmarkRegexpMatchEasy1_32           2866         2861   -0.17%
BenchmarkRegexpMatchEasy1_1K          29128        29128   +0.00%
BenchmarkRegexpMatchMedium_32          5928         5223  -11.89%
BenchmarkRegexpMatchMedium_1K       2127243      1688032  -20.65%
BenchmarkRegexpMatchHard_32           91562        85902   -6.18%
BenchmarkRegexpMatchHard_1K         2759244      2612133   -5.33%
BenchmarkRevcomp                  239298656    201136103  -15.95%
BenchmarkTemplate                2147483647   2147483647   -1.84%
BenchmarkTimeParse                    35892        17548  -51.11%
BenchmarkTimeFormat                   29595        26729   -9.68%
 
benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                     1.55         2.02    1.30x
BenchmarkGobEncode                     5.22         5.44    1.04x
BenchmarkGzip                          1.19         1.43    1.20x
BenchmarkGunzip                        8.98        12.72    1.42x
BenchmarkJSONEncode                    0.76         1.97    2.59x
BenchmarkJSONDecode                    0.34         0.37    1.09x
BenchmarkGoParse                       0.28         0.28    1.00x
BenchmarkRegexpMatchEasy0_32           9.60        11.22    1.17x
BenchmarkRegexpMatchEasy0_1K          88.80        89.88    1.01x
BenchmarkRegexpMatchEasy1_32          11.17        11.18    1.00x
BenchmarkRegexpMatchEasy1_1K          35.15        35.16    1.00x
BenchmarkRegexpMatchMedium_32          0.17         0.19    1.12x
BenchmarkRegexpMatchMedium_1K          0.48         0.61    1.27x
BenchmarkRegexpMatchHard_32            0.35         0.37    1.06x
BenchmarkRegexpMatchHard_1K            0.37         0.39    1.05x
BenchmarkRevcomp                      10.62        12.64    1.19x
BenchmarkTemplate                      0.30         0.31    1.03x
# runtime
benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                               1639         1496   -8.72%
BenchmarkAppend1Byte                          4072         2809  -31.02%
BenchmarkAppend4Bytes                         4857         3475  -28.45%
BenchmarkAppend8Bytes                         5922         3827  -35.38%
BenchmarkAppend16Bytes                        5591         3807  -31.91%
BenchmarkAppend32Bytes                        5058         3523  -30.35%
BenchmarkAppendSpecialCase                    1312         1290   -1.68%
