# Samsung QX412, Core i5 2520M
# Ubuntu 13.10 in VMware on Windows 7 64bit host

# go1
benchmark                         old ns/op    new ns/op    delta
BenchmarkBinaryTree17            2147483647   2147483647  -14.91%
BenchmarkFannkuch11              2147483647   2147483647   -3.99%
BenchmarkFmtFprintfEmpty                103          107   +3.88%
BenchmarkFmtFprintfString               310          268  -13.55%
BenchmarkFmtFprintfInt                  208          255  +22.60%
BenchmarkFmtFprintfIntInt               358          358   +0.00%
BenchmarkFmtFprintfPrefixedInt          425          347  -18.35%
BenchmarkFmtFprintfFloat                554          501   -9.57%
BenchmarkFmtManyArgs                   1421         1375   -3.24%
BenchmarkGobDecode                 14625686     10673717  -27.02%
BenchmarkGobEncode                 15971889      5848942  -63.38%
BenchmarkGzip                     543839750    496546550   -8.70%
BenchmarkGunzip                   160625825    120540426  -24.96%
BenchmarkHTTPClientServer             67146        56773  -15.45%
BenchmarkJSONEncode                51406279     27046980  -47.39%
BenchmarkJSONDecode               110805567    100236776   -9.54%
BenchmarkMandelbrot200              5215733      5053925   -3.10%
BenchmarkGoParse                    7662872      5534443  -27.78%
BenchmarkRegexpMatchEasy0_32            140          145   +3.57%
BenchmarkRegexpMatchEasy0_1K            392          378   -3.57%
BenchmarkRegexpMatchEasy1_32            111          124  +11.71%
BenchmarkRegexpMatchEasy1_1K            961         1004   +4.47%
BenchmarkRegexpMatchMedium_32           205          215   +4.88%
BenchmarkRegexpMatchMedium_1K         73825        74693   +1.18%
BenchmarkRegexpMatchHard_32            3683         3640   -1.17%
BenchmarkRegexpMatchHard_1K          117104       114737   -2.02%
BenchmarkRevcomp                 1102894698    813200183  -26.27%
BenchmarkTemplate                 152665801    115481011  -24.36%
BenchmarkTimeParse                      524          471  -10.11%
BenchmarkTimeFormat                     592          486  -17.91%

benchmark                          old MB/s     new MB/s  speedup
BenchmarkGobDecode                    52.48        71.91    1.37x
BenchmarkGobEncode                    48.06       131.23    2.73x
BenchmarkGzip                         35.68        39.08    1.10x
BenchmarkGunzip                      120.81       160.98    1.33x
BenchmarkJSONEncode                   37.75        71.74    1.90x
BenchmarkJSONDecode                   17.51        19.36    1.11x
BenchmarkGoParse                       7.56        10.47    1.38x
BenchmarkRegexpMatchEasy0_32         227.84       219.23    0.96x
BenchmarkRegexpMatchEasy0_1K        2609.39      2708.61    1.04x
BenchmarkRegexpMatchEasy1_32         285.85       257.49    0.90x
BenchmarkRegexpMatchEasy1_1K        1065.27      1019.72    0.96x
BenchmarkRegexpMatchMedium_32          4.87         4.63    0.95x
BenchmarkRegexpMatchMedium_1K         13.87        13.71    0.99x
BenchmarkRegexpMatchHard_32            8.69         8.79    1.01x
BenchmarkRegexpMatchHard_1K            8.74         8.92    1.02x
BenchmarkRevcomp                     230.45       312.55    1.36x
BenchmarkTemplate                     12.71        16.80    1.32x
# runtime
benchmark                                old ns/op    new ns/op    delta
BenchmarkAppend                                109          111   +1.83%
